Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,7,3.02,4.07,1.04,Iris-versicolor
2,6.04,3.02,4.05,1.05,Iris-versicolor
3,6.09,3.01,4.09,1.05,Iris-versicolor
4,5.05,2.03,4,1.03,Iris-versicolor
5,6.05,2.08,4.06,1.05,Iris-versicolor
6,5.07,2.08,4.05,1.03,Iris-versicolor
7,6.03,3.03,4.07,1.06,Iris-versicolor
8,4.09,2.04,3.03,1,Iris-versicolor
9,6.06,2.09,4.06,1.03,Iris-versicolor
10,5.02,2.07,3.09,1.04,Iris-versicolor
11,5,2,3.05,1,Iris-versicolor
12,5.09,3,4.02,1.05,Iris-versicolor
13,6,2.02,4,1,Iris-versicolor
14,6.01,2.09,4.07,1.04,Iris-versicolor
15,5.06,2.09,3.06,1.03,Iris-versicolor
16,6.07,3.01,4.04,1.04,Iris-versicolor
17,5.06,3,4.05,1.05,Iris-versicolor
18,5.08,2.07,4.01,1,Iris-versicolor
19,6.02,2.02,4.05,1.05,Iris-versicolor
20,5.06,2.05,3.09,1.01,Iris-versicolor
21,5.09,3.02,4.08,1.08,Iris-versicolor
22,6.01,2.08,4,1.03,Iris-versicolor
23,6.03,2.05,4.09,1.05,Iris-versicolor
24,6.01,2.08,4.07,1.02,Iris-versicolor
25,6.04,2.09,4.03,1.03,Iris-versicolor
26,6.06,3,4.04,1.04,Iris-versicolor
27,6.08,2.08,4.08,1.04,Iris-versicolor
28,6.07,3,5,1.07,Iris-versicolor
29,6,2.09,4.05,1.05,Iris-versicolor
30,5.07,2.06,3.05,1,Iris-versicolor
31,5.05,2.04,3.08,1.01,Iris-versicolor
32,5.05,2.04,3.07,1,Iris-versicolor
33,5.08,2.07,3.09,1.02,Iris-versicolor
34,6,2.07,5.01,1.06,Iris-versicolor
35,5.04,3,4.05,1.05,Iris-versicolor
36,6,3.04,4.05,1.06,Iris-versicolor
37,6.07,3.01,4.07,1.05,Iris-versicolor
38,6.03,2.03,4.04,1.03,Iris-versicolor
39,5.06,3,4.01,1.03,Iris-versicolor
40,5.05,2.05,4,1.03,Iris-versicolor
41,5.05,2.06,4.04,1.02,Iris-versicolor
42,6.01,3,4.06,1.04,Iris-versicolor
43,5.08,2.06,4,1.02,Iris-versicolor
44,5,2.03,3.03,1,Iris-versicolor
45,5.06,2.07,4.02,1.03,Iris-versicolor
46,5.07,3,4.02,1.02,Iris-versicolor
47,5.07,2.09,4.02,1.03,Iris-versicolor
48,6.02,2.09,4.03,1.03,Iris-versicolor
49,5.01,2.05,3,1.01,Iris-versicolor
50,5.07,2.08,4.01,1.03,Iris-versicolor
51,6.03,3.03,6,2.05,Iris-virginica
52,5.08,2.07,5.01,1.09,Iris-virginica
53,7.01,3,5.09,2.01,Iris-virginica
54,6.03,2.09,5.06,1.08,Iris-virginica
55,6.05,3,5.08,2.02,Iris-virginica
56,7.06,3,6.06,2.01,Iris-virginica
57,4.09,2.05,4.05,1.07,Iris-virginica
58,7.03,2.09,6.03,1.08,Iris-virginica
59,6.07,2.05,5.08,1.08,Iris-virginica
60,7.02,3.06,6.01,2.05,Iris-virginica
61,6.05,3.02,5.01,2,Iris-virginica
62,6.04,2.07,5.03,1.09,Iris-virginica
63,6.08,3,5.05,2.01,Iris-virginica
64,5.07,2.05,5,2,Iris-virginica
65,5.08,2.08,5.01,2.04,Iris-virginica
66,6.04,3.02,5.03,2.03,Iris-virginica
67,6.05,3,5.05,1.08,Iris-virginica
68,7.07,3.08,6.07,2.02,Iris-virginica
69,7.07,2.06,6.09,2.03,Iris-virginica
70,6,2.02,5,1.05,Iris-virginica
71,6.09,3.02,5.07,2.03,Iris-virginica
72,5.06,2.08,4.09,2,Iris-virginica
73,7.07,2.08,6.07,2,Iris-virginica
74,6.03,2.07,4.09,1.08,Iris-virginica
75,6.07,3.03,5.07,2.01,Iris-virginica
76,7.02,3.02,6,1.08,Iris-virginica
77,6.02,2.08,4.08,1.08,Iris-virginica
78,6.01,3,4.09,1.08,Iris-virginica
79,6.04,2.08,5.06,2.01,Iris-virginica
80,7.02,3,5.08,1.06,Iris-virginica
81,7.04,2.08,6.01,1.09,Iris-virginica
82,7.09,3.08,6.04,2,Iris-virginica
83,6.04,2.08,5.06,2.02,Iris-virginica
84,6.03,2.08,5.01,1.05,Iris-virginica
85,6.01,2.06,5.06,1.04,Iris-virginica
86,7.07,3,6.01,2.03,Iris-virginica
87,6.03,3.04,5.06,2.04,Iris-virginica
88,6.04,3.01,5.05,1.08,Iris-virginica
89,6,3,4.08,1.08,Iris-virginica
90,6.09,3.01,5.04,2.01,Iris-virginica
91,6.07,3.01,5.06,2.04,Iris-virginica
92,6.09,3.01,5.01,2.03,Iris-virginica
93,5.08,2.07,5.01,1.09,Iris-virginica
94,6.08,3.02,5.09,2.03,Iris-virginica
95,6.07,3.03,5.07,2.05,Iris-virginica
96,6.07,3,5.02,2.03,Iris-virginica
97,6.03,2.05,5,1.09,Iris-virginica
98,6.05,3,5.02,2,Iris-virginica
99,6.02,3.04,5.04,2.03,Iris-virginica
100,5.09,3,5.01,1.08,Iris-virginica
